NRF1,RBFOX2
NRF1,TFAP4
NRF1,VEZF1
NRF1,YY1
NRF1,ZFX
OTX1,THRB
PHF8,POLR2G
PHF8,RB1
PHF8,RBBP5
PHF8,RBFOX2
PHF8,SMAD5
PHF8,SP1
PHF8,SUPT5H
PHF8,TAF1
PHF8,TBP
PHF8,TFAP4
PHF8,VEZF1
PHF8,YY1
PHF8,ZBTB11
PHF8,ZBTB7A
PHF8,ZFX
POLR2B,POLR2H
POLR2B,SMAD5
POLR2B,SUPT5H
POLR2B,TAF1
POLR2G,RB1
POLR2G,RBBP5
POLR2G,RBFOX2
POLR2G,SMAD5
POLR2G,SP1
POLR2G,SUPT5H
POLR2G,TAF1
POLR2G,TBP
POLR2G,TFAP4
POLR2G,VEZF1
POLR2G,YY1
POLR2G,ZBTB7A
POLR2G,ZFX
PTRF,PTTG1
PTTG1,ZNF740
RAD21,REST
RAD21,SMC3
RAD21,STAG1
RAD21,ZNF143
RAD51,USF1
RAD51,USF2
RB1,RBBP5
RB1,RBFOX2
RB1,SP1
RB1,TFAP4
RB1,YY1
RB1,ZBTB7A
RB1,ZFX
RBBP5,RBFOX2
RBBP5,SUPT5H
RBBP5,TAF1
RBBP5,TBP
RBBP5,ZBTB7A
RBBP5,ZFX
RBFOX2,RNF2
RBFOX2,SMAD5
RBFOX2,SUPT5H
RBFOX2,TAF1
RBFOX2,TBP
RBFOX2,TFAP4
RBFOX2,VEZF1
RBFOX2,YY1
RBFOX2,ZBTB7A
RBFOX2,ZFX
RBM25,ZMYM3
RCOR1,RNF2
RCOR1,SMARCA4
RCOR1,SMARCE1
RCOR1,SOX6
RCOR1,TCF3
RCOR1,TEAD4
RCOR1,ZNF281
REST,SMC3
REST,ZNF143
RNF2,SMARCA4
RNF2,SMARCE1
RNF2,SOX6
RNF2,TCF3
RNF2,TEAD4
RNF2,TFAP4
RNF2,VEZF1
RNF2,ZNF281
RNF2,ZNF592
SMAD5,SUPT5H
SMAD5,TAF1
SMAD5,TBP
SMAD5,ZFX
SMARCA4,SMARCE1
SMARCA4,SOX6
SMARCA4,TAL1
SMARCA4,TCF12
SMARCA4,TCF3
SMARCA4,TEAD4
SMARCA4,TRIM24
SMARCA4,ZNF281
SMARCA4,ZNF592
SMARCE1,SOX6
SMARCE1,TAL1
SMARCE1,TCF12
SMARCE1,TCF3
SMARCE1,TEAD4
SMARCE1,TRIM24
SMARCE1,ZNF281
SMC3,STAG1
SMC3,ZNF143
SOX6,TAL1
SOX6,TCF3
SOX6,TEAD4
SOX6,TRIM24
SOX6,ZNF281
SP1,ZFX
STAT5A,TCF12
SUPT5H,TAF1
SUPT5H,TBP
SUPT5H,YY1
SUPT5H,ZFX
TAF1,TBP
TAF1,YY1
TAF1,ZFX
TAL1,TCF12
TAL1,TCF3
TAL1,TEAD4
TAL1,TRIM24
TBP,YY1
TBP,ZFX
TCF12,TCF3
TCF12,TEAD4
TCF12,TRIM24
TCF3,TEAD4
TCF3,TRIM24
TEAD4,TRIM24
TEAD4,ZNF281
TFAP4,VEZF1
TFAP4,ZFX
TFDP1,ZFX
THRB,ZBTB26
TRIM24,ZNF281
USF1,USF2
VEZF1,ZBTB7A
VEZF1,ZFX
VEZF1,ZNF281
YY1,ZBTB11
YY1,ZFX
ZBTB11,ZNF639
ZBTB7A,ZFX
ZNF148,ZNF281
ZNF175,ZNF589
ZNF215,ZNF311
ZNF281,ZNF592
ZNF395,ZNF639
ZNF395,ZNF766
