,TF1,TF2
698,TAL1,TCF12
699,TAL1,TCF3
700,TAL1,TEAD4
701,TAL1,TRIM24
702,TBP,YY1
703,TBP,ZFX
706,TCF12,TRIM24
708,TCF3,TRIM24
709,TEAD4,TRIM24
710,TEAD4,ZNF281
711,TFAP4,VEZF1
712,TFAP4,ZFX
713,TFDP1,ZFX
715,TRIM24,ZNF281
717,VEZF1,ZBTB7A
718,VEZF1,ZFX
719,VEZF1,ZNF281
720,YY1,ZBTB11
721,YY1,ZFX
723,ZBTB7A,ZFX
